g_m_t,airport_id,iata_code,city_iata,icao_code,geoname_id,latitude,longitude,airport_name,country
1,6984,SDD,SDD,FNBU,7668257.0,-14.924444,13.576667,Lubango,Angola
1,7288,SPP,SPP,FNME,7668249.0,-14.6375,17.725555,Menongue,Angola
1,7365,SSY,SSY,FNBC,7839143.0,-6.273889,14.244167,M'banza Congo,Angola
1,7431,SVP,SVP,FNKU,6297062.0,-12.404167,16.956667,Kuito (Silva Porto),Angola
1,7513,SZA,SZA,FNSO,7668254.0,-6.033333,12.416667,Soyo,Angola
1,8040,UAL,UAL,FNUA,7668256.0,-11.0,22.5,Luau,Angola
1,8083,UGO,UGO,FNUG,7668259.0,-7.816667,15.15,Uige,Angola
1,8299,VHC,VHC,FNSA,7668253.0,-9.75,20.55,Saurimo,Angola
1,8371,VPE,VPE,FNGI,7730078.0,-17.05,15.7,Ondjiva,Angola
1,8767,XGN,XGN,FNXA,7668260.0,-16.75,14.972222,Xangongo,Angola
-4,7826,TNM,TNM,SCRM,8260905.0,-62.190556,-58.98639,Teniente R. Marsh Martin,Antarctica
3.3,10545,QAO,,AT17,,-70.821517,11.643345,Novo Runway,Antarctica
13,10554,QET,,AT27,6620460.0,-71.955389,2.467397,Troll Airfield,Antarctica
-3,107,AEP,BUE,SABE,6301847.0,-34.55622,-58.41667,Aeroparque Jorge Newbery,Argentina
-3,114,AFA,AFA,SAMR,6300529.0,-34.58917,-68.40056,San Rafael,Argentina
-3,310,AOL,AOL,SARL,6300550.0,-29.683332,-57.15,Paso De Los Libres,Argentina
-3,341,APZ,APZ,SAHZ,7730148.0,-38.916668,-70.083336,Zapala,Argentina
-3,367,ARR,ARR,SAVR,7730773.0,-45.033333,-70.833336,Alto Rio Senguerr,Argentina
-3,698,BHI,BHI,SAZB,6300580.0,-38.730556,-62.150555,Comandante Espora,Argentina
-3,920,BRC,BRC,SAZS,6300590.0,-41.145966,-71.16109,San Carlos de Bariloche Airport,Argentina
-3,1392,CLX,CLX,,3435364.0,-25.333332,-57.666668,Clorinda,Argentina
-3,1436,CNQ,CNQ,SARC,6300546.0,-27.449722,-58.762222,Camba Punta,Argentina
-3,1439,CNT,CNT,,7730929.0,-27.216667,-61.233334,Charata,Argentina
-3,1448,COC,COC,SAAC,6300509.0,-31.297222,-57.996387,Concordia,Argentina
-3,1463,COR,COR,SACO,6300518.0,-31.31548,-64.21377,Pajas Blancas,Argentina
-3,1474,CPC,CPC,SAZY,7603035.0,-40.066666,-71.13333,Chapelco,Argentina
-3,1478,CPG,CPG,,0.0,-40.833332,-63.0,Carmen De Patagones,Argentina
-3,1501,CRD,CRD,SAVC,6300563.0,-45.787224,-67.462776,Comodoro Rivadavia,Argentina
-3,1514,CRR,CRR,SANW,6300539.0,-29.916668,-61.833332,Ceres,Argentina
-3,1547,CSZ,CSZ,,8298887.0,-37.433334,-61.88333,Brigadier Hector Ruiz,Argentina
-3,1550,CTC,CTC,SANC,6300532.0,-28.448334,-65.779724,Catamarca,Argentina
-3,1592,CUT,CUT,SAZW,7730151.0,-38.9,-69.0,Cutral,Argentina
-3,1605,CVH,CVH,SAHE,7730764.0,-37.916668,-71.0,Caviahue,Argentina
-3,1606,CVI,CVI,,7730960.0,-46.416668,-67.416664,Caleta Olivia,Argentina
-3,2054,EHL,EHL,SAVB,6301850.0,-42.0,-71.75,El Bolson,Argentina
-3,2093,ELO,ELO,SATD,7730768.0,-26.5,-54.733334,Eldorado,Argentina
-3,2119,EMX,EMX,SAVD,7730770.0,-42.033333,-71.15,El Maiten,Argentina
-3,2147,EPA,EPA,SADP,6301849.0,-34.608334,-58.6125,El Palomar,Argentina
-3,2157,EQS,EQS,SAVE,6300564.0,-42.90972,-71.1425,Esquel,Argentina
-3,2242,EZE,BUE,SAEZ,6300524.0,-34.81273,-58.539833,Ezeiza Ministro Pistarini,Argentina
-3,2356,FMA,FMA,SARF,6300548.0,-26.212778,-58.235,El Pucu,Argentina
-3,2436,FTE,FTE,SAWC,7668427.0,-50.284225,-72.053696,El Calafate,Argentina
-3,2589,GGS,GGS,SAWR,6300577.0,-48.766666,-70.25,Gobernador Gregores,Argentina
-3,2599,GHU,GHU,SAAG,6300510.0,-33.004166,-58.61222,Gualeguaychu,Argentina
-3,2675,GNR,GNR,SAHR,7730765.0,-39.983334,-67.6,General Roca,Argentina
-3,2711,GPO,GPO,SAZG,6300583.0,-35.63333,-63.766666,General Pico,Argentina
-3,3037,HOS,HOS,,3861262.0,-37.416668,-70.21667,Oscar Reguera,Argentina
-3,3215,IGB,IGB,SAVJ,7730771.0,-41.3,-69.583336,Ingeniero Jacobacci,Argentina
-3,3224,IGR,IGR,SARI,6300549.0,-25.731504,-54.47635,Cataratas,Argentina
-3,3289,ING,ING,SAWA,6300570.0,-50.583332,-72.666664,Lago Argentino,Argentina
-3,3342,IRJ,IRJ,SANL,6300535.0,-29.383333,-66.78333,Capitan Vicente Almando,Argentina
-3,3573,JNI,JNI,SAAJ,6300511.0,-34.583332,-60.966667,Junin,Argentina
-3,3621,JSM,JSM,SAWS,7730776.0,-44.066666,-70.433334,Jose De San Martin,Argentina
-3,3639,JUJ,JUJ,SASJ,6300555.0,-24.4,-65.083336,El Cadillal,Argentina
-3,4230,LCM,LCM,SACC,7730763.0,-30.966667,-64.5,La Cumbre,Argentina
-3,4233,LCP,LCP,,7731213.0,-38.083332,-70.666664,Loncopue,Argentina
-3,4314,LGS,LGS,SAMM,6300528.0,-35.5,-69.583336,Malargue,Argentina
-3,4330,LHS,LHS,SAVH,7730150.0,-32.85,-68.816666,Las Heras,Argentina
-3,4394,LLS,LLS,SATK,6300560.0,-24.716667,-60.583332,Las Lomitas,Argentina
-3,4403,LMD,LMD,,7731231.0,-40.833332,-68.13333,Los Menucos,Argentina
-3,4471,LPG,LPG,SADL,6300523.0,-34.916668,-57.95,La Plata,Argentina
-3,4572,LUQ,LUQ,SAOU,6300545.0,-33.274445,-66.35861,San Luis,Argentina
-3,4711,MCS,MCS,SARM,6300551.0,-30.270832,-57.64111,Monte Caseros,Argentina
-3,4735,MDQ,MDQ,SAZM,3430864.0,-37.934723,-57.572224,Mar Del Plata,Argentina
-3,4742,MDX,MDX,SATM,7730769.0,-29.167221,-58.075558,Mercedes,Argentina
-3,4744,MDZ,MDZ,SAME,6300525.0,-32.82789,-68.79891,El Plumerillo,Argentina
-3,4886,MJR,MJR,,3430668.0,-38.25,-57.833332,Miramar,Argentina
-3,5045,MQD,MQD,SAVQ,7730772.0,-41.25,-68.73333,Maquinchao,Argentina
-3,5336,NCJ,NCJ,,3834971.0,-30.94404,-61.56148,Sunchales,Argentina
-3,5369,NEC,NEC,,3430443.0,-38.566666,-58.75,Necochea,Argentina
-3,5520,NQN,NQN,SAZN,6300586.0,-38.95,-68.15222,Neuquen,Argentina
-3,5685,OES,OES,SAVN,6300565.0,-40.733334,-64.95,San Antonio Oeste,Argentina
-3,5755,OLN,OLN,,0.0,-45.57,-69.0,Colonia Sarmiento,Argentina
-3,5815,ORA,ORA,SASO,6300556.0,-23.333332,-64.166664,Oran,Argentina
-3,5901,OVR,OVR,SAZF,7730778.0,-36.88889,-60.22778,Olavarria,Argentina
-3,5915,OYA,OYA,SATG,7730149.0,-29.103333,-59.216667,Goya,Argentina
-3,5921,OYO,OYO,SAZH,3833860.0,-38.36667,-60.25,Tres Arroyos,Argentina
-3,6032,PEH,PEH,SAZP,6300587.0,-35.85,-61.86667,Pehuajo,Argentina
-3,6194,PMQ,PMQ,SAWP,6300576.0,-46.53639,-70.98361,Perito Moreno,Argentina
-3,6202,PMY,PMY,SAVY,6300569.0,-42.733334,-65.066666,El Tehuelche,Argentina
-3,6284,PRA,PRA,SAAP,6300512.0,-31.795,-60.48,Parana,Argentina
-3,6300,PRQ,PRQ,,8299142.0,-26.833332,-60.666668,Pres. Roque Saenz Pena,Argentina
-3,6328,PSS,PSS,SARP,6300552.0,-27.383888,-55.9675,Posadas,Argentina
-3,6364,PUD,PUD,SAWD,6300571.0,-47.75,-65.916664,Puerto Deseado,Argentina
-3,6578,RAF,RAF,,3839479.0,29.6,34.85,Rafaela,Argentina
-3,6632,RCQ,RCQ,SATR,6300561.0,-29.183332,-59.7,Reconquista,Argentina
-3,6636,RCU,RCU,SAOC,6300540.0,-33.165558,-64.331665,Rio Cuarto,Argentina
-3,6647,RDS,RDS,SAHS,7730147.0,-37.38333,-68.9,Rincon de los Sauces,Argentina
-3,6659,REL,REL,SAVT,6300567.0,-43.233334,-65.32333,Almirante Zar,Argentina
-3,6665,RES,RES,SARE,6300547.0,-27.45139,-59.050835,Resistencia,Argentina
-3,6680,RGA,RGA,SAWE,6300572.0,-53.779167,-67.75,Rio Grande,Argentina
-3,6685,RGL,RGL,SAWG,6300573.0,-51.61667,-69.28333,Internacional,Argentina
-3,6692,RHD,RHD,SANH,7730766.0,-27.533333,-64.95,Rio Hondo,Argentina
-3,6749,RLO,RLO,,7730767.0,-32.384445,-65.5525,Valle Del Conlara,Argentina
-3,6802,ROS,ROS,SAAR,3838583.0,-32.933334,-60.783333,Fisherton,Argentina
