age_fleet,airline_id,callsign,code_hub,code_iata_airline,code_icao_airline,code_iso2_country,iata_prefix_accounting,name_airline,name_country,size_airline,status_airline,type
0.0,8075,IDOT,UNKNOWN,,IDT,US,,Illinois Department of Transportation,United States,0,active,Unknown
0.0,8090,EIFEL,UNKNOWN,,IFL,US,,IFL Group,United States,0,active,Unknown
0.0,8093,Unknown,UNKNOWN,,IFR,US,,International Flight Resources,United States,0,active,Unknown
0.0,8097,IFTA,UNKNOWN,,IFX,US,,International Flight Training Academy,United States,0,active,Unknown
0.0,8102,ISLA GRANDE,UNKNOWN,,IGS,US,,Isle Grande Flying School,United States,0,active,Unknown
0.0,8116,I-JET,APA,,IJA,US,,International Jet Aviation Services,United States,0,active,private
0.0,8123,Unknown,UNKNOWN,,IJS,US,,Silvair,United States,0,active,Unknown
0.0,8124,JET WEST,TOL,,IJW,US,,Interjet West,United States,0,active,cargo
0.0,8137,Unknown,FLL,,ILF,US,,Island Air Charters,United States,0,active,charter
0.0,8147,ILLINI,UNKNOWN,,ILU,US,,University of Illinois Institute of Aviation,United States,0,active,Unknown
0.0,8150,INTER-MOUNTAIN,UNKNOWN,,IMA,US,,Inter-Mountain Airways,United States,0,active,Unknown
0.0,8155,IMAGINE,UNKNOWN,,IMG,US,,Imagine Air Jet Services,United States,0,active,Unknown
0.0,8197,IOWA AIR,UNKNOWN,,IOA,US,,Iowa Airways,United States,0,active,Unknown
0.0,8211,INTERPORT,UNKNOWN,,IPT,US,,Interport Corporation,United States,0,active,Unknown
0.0,8224,Unknown,IMT,,IRO,US,,CSA Air Inc,United States,0,active,Unknown
0.0,8225,IRON AIR,IMT,,IRO,US,,CSA Air,United States,0,active,"scheduled,cargo"
0.0,8245,BARRACUDA,UNKNOWN,,ISC,US,,Island Air Charters,United States,0,active,charter
0.0,8254,CAFEX,UNKNOWN,,ITA,US,,Inter-Air,United States,0,active,Unknown
0.0,8267,Unknown,UNKNOWN,,ITP,US,,International Trip Planning Services,United States,0,active,Unknown
0.0,8269,OUT BACK,UNKNOWN,,ITR,US,,Frontier Commuter,United States,0,active,Unknown
0.0,8271,INTER-STATE,UNKNOWN,,ITS,US,,Inter-State Aviation,United States,0,active,Unknown
0.0,8281,INVADER JACK,UNKNOWN,,IVJ,US,,Flight International,United States,0,active,Unknown
0.0,8293,ISLAND EXPRESS,UNKNOWN,,IXX,US,,Dolphin Express Airlines,United States,0,active,Unknown
0.0,8309,JET SETTER,UNKNOWN,,JAS,US,,Jet Aviation Flight Services,United States,0,active,Unknown
0.0,8312,JANAIR,UNKNOWN,,JAX,US,,Janair,United States,0,active,Unknown
0.0,8334,SECUREAIR,UNKNOWN,,JCM,US,,Secure Air Charter,United States,0,active,charter
0.0,8337,JET CHARTER,UNKNOWN,,JCT,US,,Jet Charter,United States,0,active,charter
0.0,8341,JOHN DEERE,UNKNOWN,,JDC,US,,Deere And Company,United States,0,active,Unknown
0.0,8350,JET EAST,UNKNOWN,,JED,US,,Jet East International,United States,0,active,Unknown
0.0,8389,AIR JOHNSON,UNKNOWN,,JHN,US,,Johnson Air,United States,0,active,Unknown
0.0,8399,JACKET,UNKNOWN,,JKA,US,,"Letiurneau University, School of Aeronautical Science",United States,0,active,Unknown
0.0,8403,JOKER,UNKNOWN,,JKR,US,,Empire Airways,United States,0,active,Unknown
0.0,8411,LOGISTICS,UNKNOWN,,JLG,US,,Jet Logistics,United States,0,active,Unknown
0.0,8426,JOHNSTON,UNKNOWN,,JMJ,US,,Johnston Airways,United States,0,active,Unknown
0.0,8444,ROCK BAND,UNKNOWN,,JNY,US,,Journey Aviation,United States,0,active,Unknown
0.0,8452,J-PAT,UNKNOWN,,JPA,US,,Operational Support Airlift Command (OSACOM),United States,0,active,Unknown
0.0,8453,PALMBEACH JET,UNKNOWN,,JPB,US,,ACP Jet,United States,0,active,charter
0.0,8465,PRIMETIME,UNKNOWN,,JPT,US,,Prime Jet,United States,0,active,Unknown
0.0,8483,SELECTJET,UNKNOWN,,JSL,US,,SelectJet,United States,0,active,Unknown
0.0,8507,JET LINX,UNKNOWN,,JTL,US,,Jet Linx Aviation,United States,0,active,Unknown
0.0,8509,JET COAST,ESN,,JTM,US,,East Coast Flight Services,United States,0,active,private
0.0,8512,JET TEST,UNKNOWN,,JTN,US,,Jet Test and Transport,United States,0,active,Unknown
0.0,8522,JET ASPEN,UNKNOWN,,JTX,US,,Jet Aspen Air Lines,United States,0,active,Unknown
0.0,8539,JETWAYS,UNKNOWN,,JWY,US,,Jetways of Iowa,United States,0,active,Unknown
0.0,8553,KAISER,OAK,,KAI,US,,Kaiser Air,United States,0,active,private
0.0,8557,KANSAS,UNKNOWN,,KAN,US,,Kansas Highway Patrol,United States,0,active,Unknown
0.0,8582,KOLOB,CDC,,KCR,US,,Kolob Canyons Air Services,United States,0,active,charter
0.0,8588,KUDZU,UNKNOWN,,KDZ,US,,Flightworks,United States,0,active,Unknown
0.0,8599,KEY AIR,SLC,,KEY,US,,Key Air,United States,0,active,charter
0.0,8600,MISSION,SNA,,KFB,US,,"Superior Transportation Associates, Inc d/b/a STAjets",United States,0,active,private
0.0,8612,CARGO HAWK,UNKNOWN,,KHC,US,,Kitty Hawk Airways,United States,0,active,Unknown
0.0,8624,RIZZ,UNKNOWN,,KHX,US,,Knighthawk Express,United States,0,active,Unknown
0.0,8655,KAY-LER,UNKNOWN,,KLR,US,,Columbus Air Transport,United States,0,active,Unknown
0.0,8677,KINZE,UNKNOWN,,KNZ,US,,Executive Travel Air,United States,0,active,Unknown
0.0,8681,KOKO,UNKNOWN,,KOK,US,,Horizon Air Service,United States,0,active,Unknown
0.0,8689,RODEO,UNKNOWN,,KOW,US,,Baker Aviation,United States,0,active,Unknown
0.0,8731,K-STATE,UNKNOWN,,KSU,US,,Kansas State University,United States,0,active,Unknown
0.0,8775,KAY DUB,UNKNOWN,,KWX,US,,Air Key West,United States,0,active,charter
0.0,8778,DOLPHIN,FLL,,KYC,US,,Av Atlantic,United States,0,active,charter
0.0,8793,LOCKHEED,UNKNOWN,,LAC,US,,Lockheed,United States,0,active,Unknown
0.0,8794,LADCO-AIR,UNKNOWN,,LAD,US,,Lebanon Airport Development,United States,0,active,Unknown
0.0,8799,STAR SHIP,UNKNOWN,,LAH,US,,L A Helicopter,United States,0,active,private
0.0,8802,REDLAKE,UNKNOWN,,LAK,US,,Red Wing Aeroplance Company,United States,0,active,Unknown
0.0,8804,LAWRENCE,UNKNOWN,,LAR,US,,Lawrence Aviation,United States,0,active,Unknown
0.0,8825,LABQUEST,LZU,,LBQ,US,,Quest Diagnostics,United States,0,active,private
0.0,8830,LECONTE,UNKNOWN,,LCA,US,,Leconte Airlines,United States,0,active,Unknown
0.0,8831,LANCAIR,UNKNOWN,,LCC,US,,The Lancair Company,United States,0,active,Unknown
0.0,8833,LYNCH AIR,UNKNOWN,,LCH,US,,Lynch Flying Service,United States,0,active,Unknown
0.0,8867,LEGACY,UNKNOWN,,LEG,US,,The Army Aviation Heritage Foundation,United States,0,active,Unknown
0.0,8875,LENTINI,UNKNOWN,,LEN,US,,Lentini Aviation,United States,0,active,Unknown
0.0,8887,LEX,UNKNOWN,,LEX,US,,L'express,United States,0,active,Unknown
0.0,8928,LIFECARE,UNKNOWN,,LIF,US,,Rocky Mountain,United States,0,active,Unknown
0.0,8962,ELJAY,UNKNOWN,,LJY,US,,L J Aviation,United States,0,active,Unknown
0.0,8966,LAKE FRONT,UNKNOWN,,LKF,US,,Aviation Advisor,United States,0,active,Unknown
0.0,8967,LAKELAND,UNKNOWN,,LKL,US,,Lakeland Aviation,United States,0,active,Unknown
0.0,8968,LAKE POWELL,UNKNOWN,,LKP,US,,American Aviation,United States,0,active,Unknown
0.0,8972,LUCKY,UNKNOWN,,LKY,US,,Air Solutions,United States,0,active,Unknown
0.0,8977,Unknown,UNKNOWN,,LLH,US,,Airport Handling,United States,0,active,Unknown
0.0,9015,LIGHTNING,UNKNOWN,,LNG,US,,Lockheed Martin Aeronautics Company,United States,0,active,Unknown
0.0,9050,LEASE-A-PLANE,UNKNOWN,,LPL,US,,Lease-A-Plane International,United States,0,active,Unknown
0.0,9060,LAREDO AIR,UNKNOWN,,LRD,US,,Laredo Air,United States,0,active,Unknown
0.0,9071,LIBERTY JET,UNKNOWN,,LRT,US,,Liberty Jet Management,United States,0,active,Unknown
0.0,9081,Unknown,UNKNOWN,,LSH,US,,Lott Ship Agency,United States,0,active,Unknown
0.0,9096,LINDSAY AIR,UNKNOWN,,LSY,US,,Lindsay Aviation,United States,0,active,Unknown
0.0,9132,FREEBIRD,UNKNOWN,,LUX,US,,Lincoln Airlines,United States,0,active,Unknown
0.0,9148,LYNX FLIGHT,FXE,,LXF,US,,Lynx Air International,United States,0,active,scheduled
0.0,9150,FLEXJET,DAL,,LXJ,US,,Flexjet,United States,0,active,private
0.0,9173,Unknown,GSO,,M5F,US,,Mid-Atlantic Freight,United States,0,active,Unknown
0.0,9188,MANNION,UNKNOWN,,MAN,US,,Mannion Air Charter,United States,0,active,charter
0.0,9189,MAYO,UNKNOWN,,MAO,US,,Mayo Clinic,United States,0,active,Unknown
0.0,9191,MAPPING,UNKNOWN,,MAP,US,,National Oceanic & Atmospheric Administration,United States,0,active,Unknown
0.0,9194,Unknown,PWM,,MAT,US,,Maine Aviation,United States,0,active,private
0.0,9195,MAINE-AV,UNKNOWN,,MAT,US,,Maine Aviation Corporation,United States,0,active,Unknown
0.0,9211,Unknown,BOI,,MBI,US,,Salmon Air,United States,0,active,scheduled
0.0,9212,MOUNTAIN BIRD,UNKNOWN,,MBI,US,,Mountian Bird,United States,0,active,Unknown
0.0,9240,MAC DAN,UNKNOWN,,MCN,US,,Mac Dan Aviation Corporation,United States,0,active,Unknown
0.0,9253,Unknown,GSO,,MDC,US,,Mid-Atlantic Freight,United States,0,active,cargo
0.0,9254,NIGHT SHIP,UNKNOWN,,MDC,US,,Atlantic Aero And Mid-Atlantic Freight,United States,0,active,Unknown
0.0,9271,Unknown,AWM,,MDS,US,,McNeeley Charter Service,United States,0,active,charter
0.0,9272,MID-SOUTH,UNKNOWN,,MDS,US,,McNeely Charter Serivces,United States,0,active,charter
0.0,9288,AVALON,BIL,,MEI,US,,Merlin Airways,United States,0,active,cargo
0.0,9292,Unknown,BHM,,MEJ,US,,Airmed International,United States,0,active,private
0.0,9293,MEDJET,UNKNOWN,,MEJ,US,,Medjet International,United States,0,active,Unknown
0.0,9294,MED-TRANS,UNKNOWN,,MEK,US,,Med-Trans Of Florida,United States,0,active,Unknown
0.0,9305,METHOW,UNKNOWN,,MER,US,,Methow Aviation,United States,0,active,Unknown
0.0,9307,EAGLE EXPRESS,UNKNOWN,,MEX,US,,Metro Express 11,United States,0,active,Unknown
0.0,9315,FOREST RANGER,UNKNOWN,,MFP,US,,Maine Forest Service,United States,0,active,Unknown
0.0,9316,MIDLINE FREIGHT,UNKNOWN,,MFR,US,,Midline Air Freight,United States,0,active,Unknown
0.0,9317,MILLER TIME,UNKNOWN,,MFS,US,,Miller Flying Services,United States,0,active,Unknown
0.0,9342,MOUNTAIN HIGH,UNKNOWN,,MHA,US,,Mountain High Aviation,United States,0,active,Unknown
0.0,9347,AIR MARITIME,UNKNOWN,,MHF,US,,Maritime Helicopters,United States,0,active,private
0.0,9358,MIDCOAST,UNKNOWN,,MID,US,,Waters-Aero Marine,United States,0,active,Unknown
0.0,9372,MIDSTATE,UNKNOWN,,MIS,US,,Midstate Airlines,United States,0,active,Unknown
0.0,9373,MATCO,UNKNOWN,,MIT,US,,Flight Line,United States,0,active,Unknown
