status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,speed_is_ground,speed_vspeed,system_squawk,system_updated
en-route,B738,4D222B,B738,9H-QEO,FR,RYR,SOF,LBSF,BVA,LFOB,FR4382,RYR1NJ,4382,11277.6,111.78,46.9289,12.282,833.616,0.0,-1.188,656.0,2025-11-14 09:14:52+00:00
en-route,B738,48C231,B738,SP-RSS,FR,RYR,WMI,EPMO,BGY,LIME,FR4044,RYR4044,4044,2407.92,51.34,52.35,20.7026,557.352,0.0,-22.248,436.0,2025-11-14 09:14:52+00:00
en-route,B38M,4CADBE,B38M,EI-IGL,FR,RYR,TFS,GCTS,ORK,EICK,FR526,RYR1UF,526,11277.6,194.0,36.2244,-11.3675,792.656,0.0,0.0,3724.0,2025-11-14 09:12:46+00:00
en-route,B738,4CA647,B738,EI-DYE,FR,RYR,STN,EGSS,VIE,LOWW,FR7356,RYR7TL,7356,3131.82,301.47,48.207,16.7297,542.808,0.0,57.348,,2025-11-14 09:14:52+00:00
en-route,B738,4CA97A,B738,EI-ESS,FR,RYR,TRN,LIMF,CTA,LICC,FR1057,RYR7QV,1057,2667.0,316.3,44.7778,7.9011,520.02,0.0,-25.74,5126.0,2025-11-14 09:14:52+00:00
en-route,B738,4CA9C2,B738,EI-EVB,FR,RYR,DUB,EIDW,BRS,EGGD,FR505,RYR9TX,505,5844.54,342.67,52.7582,-5.6043,640.224,0.0,-26.928,5401.0,2025-11-14 09:14:52+00:00
en-route,B38M,4CAEE7,B38M,EI-ILG,FR,RYR,DLM,LTBS,DUB,EIDW,FR4620,RYR28XH,4620,11887.2,132.01,39.8764,24.964,877.284,0.0,0.0,7503.0,2025-11-14 09:14:52+00:00
unknown,B738,4CA740,B738,EI-EBY,FR,RYR,FMM,EDJA,BNX,LQBK,FR5175,RYR5KY,5175,746.76,239.0,48.0046,10.2792,275.948,0.0,0.0,6014.0,2025-11-14 09:15:25+00:00
en-route,B738,4CA8D4,B738,EI-ENI,FR,RYR,BCN,LEBL,BRU,EBBR,FR2917,RYR2BQ,2917,8069.58,176.86,42.5241,2.8271,675.144,0.0,-42.12,1000.0,2025-11-14 09:14:52+00:00
en-route,B738,48C130,B738,SP-RKR,FR,RYR,FEZ,GMFF,BVA,LFOB,FR5223,RYR2045,5223,8587.74,192.4,48.2488,2.1811,741.456,0.0,24.588,7673.0,2025-11-14 09:14:52+00:00
