g_m_t,code_iata_airport,code_iata_city,code_icao_airport,code_iso2_country,distance,latitude_airport,longitude_airport,name_airport,timezone
7,HAN,HAN,VVNB,VN,21.0864798845,21.214184,105.802826,Noibai International,Asia/Ho_Chi_Minh
7,HPH,HPH,VVCI,VN,94.1054806556,20.823315,106.727325,Catbi,Asia/Ho_Chi_Minh
