g_m_t,code_iata_airport,code_iata_city,code_icao_airport,code_iso2_country,distance,latitude_airport,longitude_airport,name_airport,name_country
7,HAN,HAN,VVNB,VN,21.0864798845,21.214184,105.802826,Noibai International,Unknown
7,HPH,HPH,VVCI,VN,94.1054806556,20.823315,106.727325,Catbi,Unknown
7,VDO,,VVVD,VN,162.8169726086,21.117778,107.414167,Van Don International Airport,Vietnam
7,ODY,ODY,VLOS,LA,182.1397138438,20.583332,104.166664,Oudomxai,Laos
7,SQH,SQH,VVNS,VN,190.7136593213,21.218056,104.025,Na-San,Unknown
7,NEU,NEU,VLSN,LA,197.8864846487,20.416668,104.066666,Sam Neua,Laos
