airline_iata,airline_icao,arrival_iata,arrival_icao,arrival_terminal,arrival_time,codeshares,departure_iata,departure_icao,departure_terminal,departure_time,flight_number,reg_number
UA,UAL,IAH,KIAH,E,2025-11-09 06:08:00+00:00,"[{'airline_code': 'NZ', 'flight_number': '9343'}]",SFO,KSFO,3,2025-11-09 00:30:00+00:00,1200,"['N492UA', 'N498UA', 'N18243', 'N67827', 'N12109', 'N12114', 'N12116', 'N13110', 'N13113', 'N13138', 'N14107', 'N14120', 'N14121', 'N17104', 'N17126', 'N17133', 'N17139', 'N19117', 'N19136', 'N19141', 'N21108', 'N29129', 'N33103', 'N33132', 'N48127', 'N57111', 'N58101', 'N67134', 'N661UA']"
UA,UAL,ORD,KORD,5,2025-11-09 19:35:00+00:00,Unknown,PVR,MMPR,,2025-11-09 15:25:00+00:00,1201,"['N834UA', 'N840UA', 'N403UA', 'N480UA', 'N17233', 'N25201', 'N27246', 'N37263', 'N73259', 'N76508', 'N76528', 'N77258', 'N77525', 'N37413', 'N37470', 'N37474', 'N38458', 'N39423', 'N45440', 'N53442', 'N68805', 'N68807', 'N69835']"
UA,UAL,LAS,KLAS,3,2025-11-09 08:22:00+00:00,"[{'airline_code': 'AD', 'flight_number': '7034'}, {'airline_code': 'TK', 'flight_number': '8636'}]",IAH,KIAH,E,2025-11-09 07:10:00+00:00,1202,"['N76516', 'N27477', 'N37466', 'N38454', 'N39418', 'N45440', 'N53442', 'N66893', 'N68453', 'N68817', 'N68843', 'N75435']"
UA,UAL,BOS,KBOS,B,2025-11-09 17:12:00+00:00,"[{'airline_code': 'CM', 'flight_number': '1943'}, {'airline_code': 'OS', 'flight_number': '7737'}, {'airline_code': 'SK', 'flight_number': '6798'}, {'airline_code': 'TP', 'flight_number': '8514'}]",EWR,KEWR,C,2025-11-09 15:51:00+00:00,1203,Unknown
UA,UAL,IAD,KIAD,,2025-11-09 05:23:00+00:00,Unknown,DEN,KDEN,,2025-11-09 23:55:00+00:00,1204,"['N61881', 'N61882', 'N61887', 'N62892', 'N64809', 'N67812', 'N67827', 'N69819', 'N69824', 'N69838', 'N69839', 'N69840', 'N69847', 'N69885']"
UA,UAL,LAX,KLAX,7,2025-11-09 21:09:00+00:00,"[{'airline_code': 'AC', 'flight_number': '5906'}, {'airline_code': 'AV', 'flight_number': '2256'}, {'airline_code': 'CM', 'flight_number': '8110'}]",KOA,PHKO,,2025-11-09 12:49:00+00:00,1205,"['N57852', 'N57855', 'N57857', 'N57863', 'N57864', 'N57868', 'N57869', 'N57870', 'N73860', 'N74856', 'N75851', 'N75853', 'N75854', 'N75858', 'N75861', 'N77865', 'N77867', 'N78866']"
UA,UAL,EWR,KEWR,B,2025-11-09 19:40:00+00:00,Unknown,MBJ,MKJS,,2025-11-09 14:45:00+00:00,1206,"['N26232', 'N37273', 'N37277', 'N73275', 'N75435', 'N78448']"
UA,UAL,EWR,KEWR,C,2025-11-09 15:35:00+00:00,"[{'airline_code': 'AC', 'flight_number': '2275'}]",SNA,KSNA,B,2025-11-09 07:05:00+00:00,1207,Unknown
UA,UAL,EWR,KEWR,C,2025-11-09 05:55:00+00:00,"[{'airline_code': 'AC', 'flight_number': '5246'}]",GUA,MGGT,,2025-11-09 22:55:00+00:00,1208,"['N12221', 'N25201', 'N35236', 'N37277', 'N73278', 'N76529']"
UA,UAL,ORD,KORD,1,2025-11-09 05:20:00+00:00,Unknown,FAI,PAFA,,2025-11-09 20:28:00+00:00,1209,"['N12216', 'N18220', 'N34282', 'N36247', 'N37263']"
