airline_iata,airline_icao,arrival_iata,arrival_icao,arrival_terminal,arrival_time,codeshares,departure_iata,departure_icao,departure_terminal,departure_time,flight_number,reg_number
VX,VRD,SEA,KSEA,,2025-11-22 08:50:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1643'}, {'airline_code': 'SQ', 'flight_number': '1392'}]",SFO,KSFO,2,2025-11-22 06:50:00+00:00,1643,Unknown
VX,VRD,LAX,KLAX,3,2025-11-22 15:40:00+00:00,"[{'airline_code': 'CZ', 'flight_number': '1909'}, {'airline_code': 'HA', 'flight_number': '2585'}, {'airline_code': 'VA', 'flight_number': '5263'}]",EWR,KEWR,A,2025-11-22 12:30:00+00:00,165,"['N361VA', 'N622VA', 'N623VA', 'N624VA', 'N625VA', 'N631VA', 'N632VA', 'N633VA', 'N638VA', 'N639VA', 'N640VA', 'N641VA', 'N642VA', 'N835VA', 'N836VA', 'N837VA', 'N838VA', 'N839VA', 'N840VA', 'N841VA', 'N842VA', 'N843VA', 'N844VA', 'N845VA', 'N846VA', 'N847VA', 'N848VA', 'N849VA', 'N851VA', 'N852VA', 'N853VA', 'N854VA', 'N855VA']"
VX,VRD,LAX,KLAX,6,2025-11-22 08:52:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1654'}]",SEA,KSEA,D,2025-11-22 06:15:00+00:00,1654,Unknown
VX,VRD,LAX,KLAX,6,2025-11-22 10:42:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1658'}]",SEA,KSEA,D,2025-11-22 08:05:00+00:00,1658,Unknown
VX,VRD,EWR,KEWR,A,2025-11-22 21:00:00+00:00,"[{'airline_code': 'CZ', 'flight_number': '1906'}, {'airline_code': 'HA', 'flight_number': '2624'}, {'airline_code': 'VA', 'flight_number': '5260'}]",LAX,KLAX,3,2025-11-22 12:35:00+00:00,166,"['N361VA', 'N362VA', 'N622VA', 'N623VA', 'N624VA', 'N630VA', 'N631VA', 'N632VA', 'N633VA', 'N635VA', 'N636VA', 'N639VA', 'N640VA', 'N835VA', 'N836VA', 'N837VA', 'N838VA', 'N839VA', 'N840VA', 'N841VA', 'N842VA', 'N843VA', 'N844VA', 'N845VA', 'N846VA', 'N847VA', 'N848VA', 'N849VA', 'N851VA', 'N852VA', 'N853VA', 'N854VA', 'N855VA']"
VX,VRD,LAX,KLAX,6,2025-11-22 08:37:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1664'}]",SEA,KSEA,D,2025-11-22 06:00:00+00:00,1664,Unknown
VX,VRD,LAX,KLAX,3,2025-11-22 19:20:00+00:00,Unknown,EWR,KEWR,A,2025-11-22 16:15:00+00:00,167,"['N364VA', 'N852VA']"
VX,VRD,SEA,KSEA,,2025-11-22 00:42:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1685'}]",LAX,KLAX,6,2025-11-22 21:59:00+00:00,1685,Unknown
VX,VRD,LAX,KLAX,3,2025-11-22 20:45:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9611'}, {'airline_code': 'CZ', 'flight_number': '1911'}, {'airline_code': 'VA', 'flight_number': '5269'}]",EWR,KEWR,A,2025-11-22 17:45:00+00:00,169,"['N281VA', 'N361VA', 'N362VA', 'N363VA', 'N621VA', 'N623VA', 'N624VA', 'N625VA', 'N626VA', 'N627VA', 'N628VA', 'N629VA', 'N630VA', 'N631VA', 'N632VA', 'N633VA', 'N634VA', 'N635VA', 'N636VA', 'N637VA', 'N638VA', 'N640VA', 'N641VA', 'N642VA', 'N835VA', 'N837VA', 'N839VA', 'N840VA', 'N845VA', 'N846VA', 'N847VA', 'N849VA', 'N853VA', 'N854VA']"
VX,VRD,EWR,KEWR,A,2025-11-22 07:50:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9608'}, {'airline_code': 'CZ', 'flight_number': '1908'}, {'airline_code': 'HA', 'flight_number': '2588'}, {'airline_code': 'VA', 'flight_number': '5266'}]",LAX,KLAX,3,2025-11-22 23:35:00+00:00,170,"['N361VA', 'N363VA', 'N623VA', 'N625VA', 'N627VA', 'N628VA', 'N629VA', 'N630VA', 'N633VA', 'N635VA', 'N636VA', 'N637VA', 'N638VA', 'N640VA', 'N641VA', 'N642VA', 'N835VA', 'N836VA', 'N837VA', 'N838VA', 'N839VA', 'N840VA', 'N841VA', 'N842VA', 'N843VA', 'N844VA', 'N845VA', 'N846VA', 'N847VA', 'N848VA', 'N849VA', 'N851VA', 'N852VA', 'N853VA', 'N855VA']"
VX,VRD,DAL,KDAL,,2025-11-22 11:34:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1370'}, {'airline_code': 'AS', 'flight_number': '1710'}]",SFO,KSFO,2,2025-11-22 06:10:00+00:00,1710,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 09:40:00+00:00,"[{'airline_code': 'CZ', 'flight_number': '1957'}, {'airline_code': 'AS', 'flight_number': '1713'}, {'airline_code': 'MU', 'flight_number': '8258'}, {'airline_code': 'SQ', 'flight_number': '1383'}]",DAL,KDAL,,2025-11-22 08:00:00+00:00,1713,Unknown
VX,VRD,DCA,KDCA,B,2025-11-22 10:49:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1730'}]",DAL,KDAL,,2025-11-22 06:55:00+00:00,1730,Unknown
VX,VRD,DAL,KDAL,,2025-11-22 09:31:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1731'}]",DCA,KDCA,C,2025-11-22 07:00:00+00:00,1731,Unknown
VX,VRD,SEA,KSEA,,2025-11-22 08:58:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1737'}]",SFO,KSFO,2,2025-11-22 06:50:00+00:00,1737,Unknown
VX,VRD,EWR,KEWR,A,2025-11-22 16:30:00+00:00,Unknown,SFO,KSFO,2,2025-11-22 08:00:00+00:00,174,"['N283VA', 'N285VA', 'N286VA', 'N361VA', 'N363VA', 'N622VA', 'N624VA', 'N628VA', 'N629VA', 'N631VA', 'N632VA', 'N635VA', 'N636VA', 'N637VA', 'N638VA', 'N639VA', 'N835VA', 'N836VA', 'N837VA', 'N839VA', 'N840VA', 'N841VA', 'N842VA', 'N843VA', 'N844VA', 'N845VA', 'N846VA', 'N847VA', 'N848VA', 'N849VA', 'N851VA', 'N852VA', 'N853VA', 'N854VA', 'N855VA']"
VX,VRD,SFO,KSFO,2,2025-11-22 08:21:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1740'}, {'airline_code': 'SQ', 'flight_number': '1395'}]",SEA,KSEA,D,2025-11-22 06:15:00+00:00,1740,Unknown
VX,VRD,SEA,KSEA,D,2025-11-22 08:08:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1741'}]",SFO,KSFO,2,2025-11-22 06:00:00+00:00,1741,Unknown
VX,VRD,SEA,KSEA,B,2025-11-22 13:05:00+00:00,Unknown,SFO,KSFO,2,2025-11-22 11:05:00+00:00,1742,Unknown
VX,VRD,SEA,KSEA,,2025-11-22 10:08:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1743'}]",SFO,KSFO,1,2025-11-22 08:00:00+00:00,1743,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 11:11:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1744'}]",SEA,KSEA,D,2025-11-22 09:05:00+00:00,1744,Unknown
VX,VRD,SEA,KSEA,,2025-11-22 10:19:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1746'}]",SFO,KSFO,2,2025-11-22 08:05:00+00:00,1746,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 15:55:00+00:00,Unknown,SEA,KSEA,B,2025-11-22 13:50:00+00:00,1747,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 08:16:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1322'}, {'airline_code': 'AS', 'flight_number': '1749'}]",SEA,KSEA,D,2025-11-22 06:05:00+00:00,1749,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 09:05:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1751'}, {'airline_code': 'MU', 'flight_number': '8253'}, {'airline_code': 'SQ', 'flight_number': '1321'}, {'airline_code': 'HA', 'flight_number': '2615'}, {'airline_code': 'CZ', 'flight_number': '1999'}]",SEA,KSEA,D,2025-11-22 07:00:00+00:00,1751,Unknown
VX,VRD,SEA,KSEA,,2025-11-22 00:03:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9650'}, {'airline_code': 'SQ', 'flight_number': '1392'}, {'airline_code': 'AS', 'flight_number': '1754'}]",SFO,KSFO,2,2025-11-22 22:00:00+00:00,1754,Unknown
VX,VRD,EWR,KEWR,A,2025-11-22 18:00:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1176'}, {'airline_code': 'SQ', 'flight_number': '1300'}]",SFO,KSFO,2,2025-11-22 09:35:00+00:00,176,Unknown
VX,VRD,DAL,KDAL,,2025-11-22 12:40:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1771'}]",LGA,KLGA,B,2025-11-22 09:35:00+00:00,1771,Unknown
VX,VRD,SEA,KSEA,,2025-11-22 08:48:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1777'}, {'airline_code': 'VA', 'flight_number': '5205'}]",LAX,KLAX,6,2025-11-22 06:00:00+00:00,1777,Unknown
VX,VRD,LAX,KLAX,6,2025-11-22 08:52:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1778'}, {'airline_code': 'VA', 'flight_number': '5231'}]",SEA,KSEA,D,2025-11-22 05:59:00+00:00,1778,Unknown
VX,VRD,SEA,KSEA,D,2025-11-22 09:45:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1779'}, {'airline_code': 'VA', 'flight_number': '5226'}]",LAX,KLAX,6,2025-11-22 07:00:00+00:00,1779,Unknown
VX,VRD,LAX,KLAX,3,2025-11-22 09:45:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9624'}, {'airline_code': 'CZ', 'flight_number': '1939'}, {'airline_code': 'HA', 'flight_number': '2533'}, {'airline_code': 'MU', 'flight_number': '9867'}, {'airline_code': 'SQ', 'flight_number': '1323'}, {'airline_code': 'VA', 'flight_number': '5230'}]",SEA,KSEA,,2025-11-22 07:05:00+00:00,1780,['N526VA']
VX,VRD,SEA,KSEA,,2025-11-22 09:55:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1781'}, {'airline_code': 'VA', 'flight_number': '5200'}]",LAX,KLAX,6,2025-11-22 07:00:00+00:00,1781,Unknown
VX,VRD,SEA,KSEA,D,2025-11-22 00:04:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1796'}, {'airline_code': 'VA', 'flight_number': '5202'}]",LAX,KLAX,6,2025-11-22 21:20:00+00:00,1796,Unknown
VX,VRD,SEA,KSEA,,2025-11-22 00:22:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1327'}, {'airline_code': 'AS', 'flight_number': '1797'}, {'airline_code': 'VA', 'flight_number': '5237'}, {'airline_code': 'HA', 'flight_number': '2556'}, {'airline_code': 'CI', 'flight_number': '9669'}, {'airline_code': 'CZ', 'flight_number': '1938'}]",LAX,KLAX,6,2025-11-22 21:35:00+00:00,1797,Unknown
VX,VRD,SEA,KSEA,,2025-11-22 00:04:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1799'}, {'airline_code': 'VA', 'flight_number': '5233'}]",LAX,KLAX,6,2025-11-22 21:20:00+00:00,1799,Unknown
VX,VRD,PDX,KPDX,,2025-11-22 07:44:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1801'}, {'airline_code': 'SQ', 'flight_number': '1381'}]",SFO,KSFO,2,2025-11-22 06:00:00+00:00,1801,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 08:18:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1802'}, {'airline_code': 'SQ', 'flight_number': '1399'}]",PDX,KPDX,,2025-11-22 06:30:00+00:00,1802,Unknown
VX,VRD,PDX,KPDX,,2025-11-22 09:03:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1381'}, {'airline_code': 'AS', 'flight_number': '1803'}]",SFO,KSFO,2,2025-11-22 07:15:00+00:00,1803,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 10:34:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1804'}]",PDX,KPDX,,2025-11-22 08:45:00+00:00,1804,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 08:31:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9686'}, {'airline_code': 'AS', 'flight_number': '1805'}]",PDX,KPDX,,2025-11-22 06:30:00+00:00,1805,Unknown
VX,VRD,PDX,KPDX,,2025-11-22 08:24:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1806'}, {'airline_code': 'SQ', 'flight_number': '1381'}]",SFO,KSFO,2,2025-11-22 06:44:00+00:00,1806,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 11:30:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1807'}]",PDX,KPDX,,2025-11-22 09:34:00+00:00,1807,Unknown
VX,VRD,EWR,KEWR,A,2025-11-22 05:59:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9638'}, {'airline_code': 'SQ', 'flight_number': '1442'}]",SFO,KSFO,2,2025-11-22 21:40:00+00:00,182,"['N281VA', 'N283VA', 'N285VA', 'N286VA', 'N361VA', 'N623VA', 'N624VA', 'N627VA', 'N628VA', 'N629VA', 'N631VA', 'N632VA', 'N634VA', 'N635VA', 'N636VA', 'N637VA', 'N640VA', 'N835VA', 'N836VA', 'N837VA', 'N839VA', 'N840VA', 'N842VA', 'N843VA', 'N845VA', 'N846VA', 'N847VA', 'N848VA', 'N849VA', 'N851VA', 'N852VA', 'N853VA', 'N854VA', 'N855VA']"
VX,VRD,LAX,KLAX,6,2025-11-22 09:40:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1822'}]",PDX,KPDX,,2025-11-22 07:02:00+00:00,1822,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 10:35:00+00:00,"[{'airline_code': 'CZ', 'flight_number': '1963'}, {'airline_code': 'MU', 'flight_number': '9871'}, {'airline_code': 'SQ', 'flight_number': '1421'}]",EWR,KEWR,A,2025-11-22 07:30:00+00:00,183,"['N281VA', 'N283VA', 'N285VA', 'N286VA', 'N361VA', 'N362VA', 'N623VA', 'N624VA', 'N627VA', 'N628VA', 'N629VA', 'N632VA', 'N634VA', 'N635VA', 'N636VA', 'N637VA', 'N639VA', 'N640VA', 'N835VA', 'N836VA', 'N837VA', 'N838VA', 'N839VA', 'N840VA', 'N841VA', 'N842VA', 'N843VA', 'N845VA', 'N846VA', 'N847VA', 'N848VA', 'N849VA', 'N851VA', 'N852VA', 'N853VA', 'N854VA', 'N855VA']"
VX,VRD,DEN,KDEN,,2025-11-22 11:10:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9684'}, {'airline_code': 'CZ', 'flight_number': '1874'}, {'airline_code': 'SQ', 'flight_number': '1438'}, {'airline_code': 'AS', 'flight_number': '1860'}]",SFO,KSFO,2,2025-11-22 07:45:00+00:00,1860,Unknown
