status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,system_updated
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,UOY,XXF,388.62,359.0,-11.4643,130.68,262.984,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,ANG93,XXF,129.54,148.0,-9.4264,147.211,227.796,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,DBJ,XXF,60.96,353.0,-20.7111,116.765,16.668,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N407BU,XXF,2179.32,62.0,34.1765,-110.081,246.316,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,TGW874,XXF,4709.16,72.0,25.2882,121.751,605.604,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,B099K,XXF,2766.06,215.0,29.0404,116.374,500.04,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,LAO701,XXF,2712.72,28.0,20.7755,104.159,394.476,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,IOA105,XXF,525.78,189.0,26.344,89.5136,222.24,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,WIS700,XXF,304.8,270.0,41.9067,-88.2535,24.076,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,VTGVR,XXF,693.42,332.0,26.9557,84.3547,261.132,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,DA7016,XXF,571.5,16.0,23.4649,119.591,138.9,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,JSY3E,XXF,91.44,90.0,45.7311,16.0575,0.0,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,DMYSA,XXF,1379.22,343.0,48.4084,9.4055,185.2,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N544RT,XXF,274.32,22.0,29.5942,-97.9914,88.896,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CPA986,XXF,2194.56,22.0,29.9181,104.566,503.744,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PGL,XXF,243.84,139.0,-31.6114,116.667,107.416,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N1220A,XXF,289.56,240.0,38.0374,-122.486,166.68,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,RXD,XXF,289.56,296.0,-20.3006,148.782,185.2,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,TCCBU,XXF,853.44,74.0,39.9392,32.6908,188.904,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,S7DES,XXF,2286.0,13.0,-5.0453,55.4881,494.484,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,SPTR641,XXF,312.42,241.0,-33.3787,115.682,212.98,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,FTU402,XXF,2926.08,260.0,31.6873,105.2,344.472,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N1876V,XXF,259.08,181.0,38.5899,-121.253,225.944,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,TBN6258,XXF,9456.42,82.0,35.9698,57.9258,953.78,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,OEZCN,XXF,2659.38,274.0,48.5453,15.0988,12.964,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,NOGS56,XXF,922.02,122.0,34.7096,-99.2314,301.876,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,QSM1224,XXF,22.86,94.0,26.5303,53.9537,242.612,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,5YGCC,XXF,2491.74,327.0,-1.203,36.6824,292.616,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N911NM,XXF,1577.34,315.0,35.0392,-106.619,1.852,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N208AM,XXF,441.96,23.0,38.4066,-96.1948,59.264,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N229SF,XXF,495.3,1.0,36.7725,-98.6684,83.34,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,R8473,XXF,464.82,334.0,-41.7075,147.218,150.012,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,QSM2145,XXF,8572.5,76.0,43.563,75.0909,781.544,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,VTNXA,XXF,419.1,7.0,20.9459,75.6645,146.308,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N531BM,XXF,579.12,97.0,34.0673,-117.843,203.72,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PKTVB,XXF,967.74,149.0,4.0468,105.845,279.652,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CHC13D,XXF,228.6,260.0,22.556,113.945,133.344,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N151AE,XXF,441.96,244.0,33.4841,-112.076,53.708,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N64TJ,XXF,1554.48,303.0,34.8422,-102.215,250.02,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,MWG,XXF,236.22,265.0,-34.6823,137.555,316.692,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,QAZ426,XXF,4472.94,330.0,52.9519,70.3503,557.452,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N918EC,XXF,144.78,249.0,35.7178,-77.9417,40.744,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N1570N,XXF,358.14,180.0,33.7446,-96.672,218.536,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,DB,XXF,2423.16,117.0,32.4216,36.0577,148.16,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,5YSLO,XXF,1645.92,70.0,-1.3278,36.7982,201.868,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,5YCAJ,XXF,2293.62,301.0,-1.3788,35.2201,320.396,2025-11-08 06:32:19+00:00
