GMT,cityId,codeIataCity,codeIso2Country,geonameId,latitudeCity,longitudeCity,nameCity,timezone
1,7011,SSY,AO,7839143,-6.273889,14.244167,M'banza Congo,Africa/Luanda
1,7073,SVP,AO,3348078,-12.404167,16.956667,Kuito,Africa/Luanda
1,7154,SZA,AO,0,-6.033333,12.416667,Soyo,Africa/Luanda
1,7662,UAL,AO,0,-11.0,22.5,Luau,Africa/Luanda
1,7703,UGO,AO,0,-7.816667,15.15,Uige,Africa/Luanda
1,7911,VHC,AO,145531,-9.75,20.55,Saurimo,Africa/Luanda
1,7978,VPE,AO,3346821,-17.05,15.7,Ondjiva,Africa/Luanda
1,8329,XGN,AO,0,-16.75,14.972222,Xangongo,Africa/Luanda
-4,7460,TNM,AQ,0,-62.190556,-58.98639,Teniente R. Marsh Martin,America/Santiago
-3,109,AFA,AR,3836669,-34.58917,-68.40056,San Rafael,America/Argentina/Mendoza
-3,302,AOL,AR,3427279,-29.683332,-57.15,Paso De Los Libres,America/Argentina/Cordoba
-3,332,APZ,AR,8556185,-38.916668,-70.083336,Zapala,America/Argentina/Salta
-3,358,ARR,AR,0,-45.033333,-70.833336,Alto Rio Senguerr,America/Argentina/Catamarca
-3,681,BHI,AR,3865086,-38.730556,-62.150555,Bahia Blanca,America/Argentina/Buenos_Aires
-3,901,BRC,AR,7647007,-41.145966,-71.16109,San Carlos DeBariloche,America/Argentina/Salta
-3,978,BUE,AR,3435910,-34.608418,-58.373161,Buenos Aires,America/Argentina/Buenos_Aires
-3,1169,CCT,AR,0,-39.5,-68.916664,Colonia Catriel,America/Argentina/Salta
-3,1360,CLX,AR,3435364,-25.333332,-57.666668,Clorinda,America/Argentina/Cordoba
-3,1402,CNQ,AR,3435217,-27.449722,-58.762222,Corrientes,America/Argentina/Cordoba
-3,1405,CNT,AR,0,-27.216667,-61.233334,Charata,America/Argentina/Cordoba
-3,1413,COC,AR,3435261,-31.297222,-57.996387,Concordia,America/Argentina/Cordoba
-3,1427,COR,AR,3860259,-31.31548,-64.21377,Cordoba,America/Argentina/Cordoba
