status,type,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared
landed,arrival,738075,B772,4X-ECE,QF,QFA,Qantas,2025-11-14T14:14:00.000,2025-11-14T14:14:00.000,10,,2025-11-14T14:14:00.000,2025-11-14T14:12:00.000,E10,BKK,VTBS,2025-11-14T14:50:00.000,1,ly,ely,el al,ly81,ely81,81,2025-11-13T22:38:00.000,2025-11-13T22:38:00.000,,9,2025-11-13T22:38:00.000,,,TLV,LLBG,2025-11-13T22:30:00.000,3,QF5020,QFA5020,5020,
landed,arrival,738075,B772,4X-ECE,LY,ELY,El Al,2025-11-14T14:14:00.000,2025-11-14T14:14:00.000,10,,2025-11-14T14:14:00.000,2025-11-14T14:12:00.000,E10,BKK,VTBS,2025-11-14T14:50:00.000,1,,,,,,,2025-11-13T22:38:00.000,2025-11-13T22:38:00.000,,9,2025-11-13T22:38:00.000,,,TLV,LLBG,2025-11-13T22:30:00.000,3,LY81,ELY81,81,
landed,arrival,738076,B772,4X-ECF,LY,ELY,El Al,2025-11-14T13:21:00.000,2025-11-14T13:21:00.000,10,,2025-11-14T13:21:00.000,2025-11-14T13:19:00.000,E8,BKK,VTBS,2025-11-14T13:50:00.000,1,,,,,,,2025-11-13T21:39:00.000,2025-11-13T21:39:00.000,,9,2025-11-13T21:39:00.000,,,TLV,LLBG,2025-11-13T21:30:00.000,3,LY83,ELY83,83,
active,arrival,8850AF,A333,HS-TEO,TG,THA,Thai Airways International,,,5,,,2025-11-14T16:46:00.000,D2,BKK,VTBS,2025-11-14T16:50:00.000,1,,,,,,,2025-11-14T14:26:00.000,2025-11-14T14:26:00.000,,31,2025-11-14T14:26:00.000,2025-11-14T13:55:00.000,B9,TPE,RCTP,2025-11-14T13:55:00.000,1,TG633,THA633,633,
active,arrival,8990BC,A21N,B-58203,JX,SJX,STARLUX,,,17,,,2025-11-14T15:57:00.000,S126,BKK,VTBS,2025-11-14T16:30:00.000,1,,,,,,,2025-11-14T13:36:00.000,2025-11-14T13:36:00.000,,11,2025-11-14T13:36:00.000,2025-11-14T13:25:00.000,26,TPE,RCTP,2025-11-14T13:25:00.000,2,JX745,SJX745,745,
landed,arrival,8990D4,B77W,B-16705,BR,EVA,EVA Air,2025-11-14T11:08:00.000,2025-11-14T11:08:00.000,19,,2025-11-14T11:08:00.000,2025-11-14T11:06:00.000,D6,BKK,VTBS,2025-11-14T11:30:00.000,1,,,,,,,2025-11-14T08:52:00.000,2025-11-14T08:52:00.000,,28,2025-11-14T08:52:00.000,2025-11-14T08:25:00.000,C5,TPE,RCTP,2025-11-14T08:25:00.000,2,BR211,EVA211,211,
landed,arrival,885303,A320,HS-TXC,BR,EVA,EVA Air,2025-11-14T11:06:00.000,2025-11-14T11:06:00.000,12,32,2025-11-14T11:06:00.000,2025-11-14T11:06:00.000,,BKK,VTBS,2025-11-14T10:35:00.000,1,tg,tha,thai airways international,tg637,tha637,637,2025-11-14T08:43:00.000,2025-11-14T08:43:00.000,,64,2025-11-14T08:43:00.000,2025-11-14T08:15:00.000,B1R,TPE,RCTP,2025-11-14T07:40:00.000,1,BR2219,EVA2219,2219,
landed,arrival,8991B4,A333,B-18306,PG,BKP,Bangkok Airways,2025-11-14T09:50:00.000,2025-11-14T09:50:00.000,15,1,2025-11-14T09:50:00.000,2025-11-14T09:44:00.000,D2,BKK,VTBS,2025-11-14T09:50:00.000,1,ci,cal,china airlines,ci833,cal833,833,2025-11-14T07:22:00.000,2025-11-14T07:22:00.000,,22,2025-11-14T07:22:00.000,2025-11-14T07:17:00.000,8,TPE,RCTP,2025-11-14T07:00:00.000,1,PG4900,BKP4900,4900,
landed,arrival,89901C,B77W,B-18002,PG,BKP,Bangkok Airways,2025-11-14T12:42:00.000,2025-11-14T12:42:00.000,15,,2025-11-14T12:42:00.000,2025-11-14T12:41:00.000,D3,BKK,VTBS,2025-11-14T13:05:00.000,1,ci,cal,china airlines,ci831,cal831,831,2025-11-14T10:27:00.000,2025-11-14T10:27:00.000,,22,2025-11-14T10:27:00.000,2025-11-14T10:13:00.000,11,TPE,RCTP,2025-11-14T10:05:00.000,1,PG4910,BKP4910,4910,
landed,arrival,899039,B77W,B-16735,TG,THA,Thai Airways International,2025-11-14T11:01:00.000,2025-11-14T11:01:00.000,15,,2025-11-14T11:01:00.000,2025-11-14T10:59:00.000,F6,BKK,VTBS,2025-11-14T11:10:00.000,1,br,eva,eva air,br67,eva67,67,2025-11-14T08:48:00.000,2025-11-14T08:48:00.000,,43,2025-11-14T08:48:00.000,2025-11-14T08:37:00.000,C7,TPE,RCTP,2025-11-14T08:05:00.000,2,TG6303,THA6303,6303,
