status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,B752,A8AAC8,B752,N658DL,DL,DAL,ATL,KATL,RNO,KRNO,DL391,DAL391,391,10850.9,104.0,40.047,-104.77,985.264,0.0,0.0,,1763109117
en-route,A21N,A6F9B3,A21N,N549DN,DL,DAL,JFK,KJFK,PHX,KPHX,DL548,DAL548,548,10675.6,68.0,37.8538,-99.4688,922.296,0.0,0.0,,1763109055
en-route,B753,A7B4F2,B753,N596NW,DL,DAL,MSP,KMSP,LAX,KLAX,DL430,DAL430,430,10675.6,55.0,37.0016,-113.123,974.152,0.0,0.0,,1763109118
en-route,A21N,A65BBC,A21N,N509DT,DL,DAL,JFK,KJFK,SEA,KSEA,DL452,DAL452,452,7444.74,104.0,47.3284,-119.972,890.812,0.0,0.0,,1763109134
en-route,A21N,A67F81,A21N,N518DQ,DL,DAL,ANC,PANC,MSP,KMSP,DL411,DAL411,411,11590.0,280.0,60.5684,-134.932,775.988,0.0,0.0,,1763109117
en-route,B763,A11380,B763,N169DZ,DL,DAL,JFK,KJFK,LAX,KLAX,DL960,DAL960,960,11285.2,77.0,40.6102,-99.1101,979.708,0.0,0.0,,1763109102
en-route,B739,ACE60C,B739,N930DZ,DL,DAL,MSP,KMSP,SEA,KSEA,DL953,DAL953,953,7383.78,91.0,47.5508,-120.978,831.548,0.0,0.0,,1763109133
en-route,B752,A6EC52,B752,N545US,DL,DAL,SEA,KSEA,LIH,PHLI,DL375,DAL375,375,11277.6,41.0,26.1565,-155.473,833.4,0.0,0.0,,1763109074
en-route,B752,A988F0,B752,N713TW,DL,DAL,ATL,KATL,SFO,KSFO,DL315,DAL315,315,11277.6,100.0,38.0761,-96.646,957.484,0.0,0.0,,1763109056
en-route,A321,A0103B,A321,N103DY,DL,DAL,DTW,KDTW,SAN,KSAN,DL764,DAL764,764,11277.6,75.0,40.8149,-94.9493,931.556,0.0,0.0,,1763109098
